post_title,title_zh,title_en,summary_zh,summary_en,category_zh,category_en,subcategory_zh,subcategory_en,date_raw,date_start,date_end,status,image_url,video_url,link
Lebanon Beirut Emergency Relief,黎巴嫩貝魯特緊急救援,Lebanon Beirut Emergency Relief,貝魯特港口爆炸，逾二百人罹難，7000人受傷，30萬人無家可歸。聯合推動機構：Galilee International US、伯特利中心、國際華人宣教聯合會、國際基督徒華商協會、芝加哥華人基督徒宣道團。,,特色事工,Special Ministries,紧急救援,Emergency Relief,2020-08-04,,,archived,https://www.bethelrc.org/images/banners/beirut_20200804.png,,https://www.bethelrc.org/index.php/9-feature/256-emergency-relief-beirut
North America “Heart for Muslims” Course,北美「心入穆斯林」課程,North America “Heart for Muslims” Course,北美「心入穆斯林」課程開始報名。,Registration is open for the North America Heart for Muslims course.,特色事工,Special Ministries,培训课程,Training Course,,,,archived,https://www.bethelrc.org/images/banners/%E5%BF%83%E5%85%A5%E7%A9%86%E6%96%AF%E6%9E%97banner.jpg,,https://www.bethelrc.org/index.php/9-feature/255-heart4muslim
Silk Road Tour,Silk Road Tour,Silk Road Tour,從西安到錫安的絲綢之旅。2020年行程包括：以色列、約旦、尼泊爾、吉爾吉斯斯坦、土耳其七教會之旅、北疆、非洲等。,"A Silk Road journey from Xi’an to Zion. The 2020 itinerary includes Israel, Jordan, Nepal, Kyrgyzstan, Turkey’s seven churches, northern Xinjiang, Africa, and more.",特色事工,Special Ministries,丝绸之路,Silk Road,2020,,,archived,https://www.bethelrc.org/images/stories/feature/SilkRoadTour/SilkRoad1.png,,https://www.bethelrc.org/index.php/9-feature/249-silk-road-tour
“God Speaks Chinese” Poster Touring Exhibit,【上帝說華語】掛圖巡迴展,“God Speaks Chinese” Poster Touring Exhibit,《和合本》聖經從1919年出版到2019年正好一百年。美國首展於10/11-10/13在新澤西州若歌教會舉行。,The Chinese Union Version Bible reached its 100th anniversary (1919–2019). The US premiere was held 10/11–10/13 at RGC Church in New Jersey.,特色事工,Special Ministries,圣经和合本100周年,CUV Bible 100th Anniversary,2019,,,archived,https://www.bethelrc.org/images/banners/RobertMorrisonExhibitionBanner.png,,https://www.bethelrc.org/index.php/9-feature/246-bible-100-exhibit
Experiential Gospel Retreat: Lifegame Camp,新型體驗性福音培靈事工：「生命衝擊營」,Experiential Gospel Retreat: Lifegame Camp,使用模擬遊戲傳遞屬靈真理的營會（LIFEgame），幫助人親身體驗和發現真理，引領參加者認識基督，進入教會，或委身服事。,"An experiential gospel retreat using LIFEgame simulations to convey spiritual truths, leading participants to Christ, church involvement, and service.",特色事工,Special Ministries,生命冲击营,Lifegame Camp,,,,archived,https://www.bethelrc.org/images/banners/2016LifeGameCamp.jpg,,https://www.bethelrc.org/index.php/9-feature/243-lifegame-article-fred
Coffee Mission Sets Sail!,咖啡宣教啟航了!,Coffee Mission Sets Sail!,一個計劃之外的咖啡屋之行，開啟了一段奇異的經歷。全球福音咖啡聯盟事工開始。,An unplanned coffee‑shop visit launched a remarkable journey. The Global Coffee Mission Alliance began.,特色事工,Special Ministries,咖啡宣教,Coffee Mission,,,,archived,https://www.bethelrc.org/images/stories/News/Coffee%20Mission/Global%20Coffee%20Mission%20v1.jpg,,https://www.bethelrc.org/index.php/9-feature/241-coffee-mission-started
“Migration & Return” Film Showcase,《遷徙與歸回影展》,“Migration & Return” Film Showcase,李靖惠導演《愛子歸來》紀錄片系列活動，刻畫華人移民動人的故事。包括異象分享、短片創作工作坊、影片欣賞以及募款餐會。,"A documentary series by director Li Jing‑hui (“My Beloved”) depicting moving stories of Chinese immigrants, with vision sharing, workshops, screenings, and fundraising banquets.",特色事工,Special Ministries,影音事工,Media Ministry,2018-07至08,,,archived,https://www.bethelrc.org/images/stories/News/%E6%84%9B%E5%AD%90%E6%AD%B8%E4%BE%86/2018%20Film%201.jpg,,https://www.bethelrc.org/index.php/9-feature/240-2018-film-imigration
2017–2018 Martin Luther Poster Tour in North America,2017-2018馬丁路德掛圖展北美巡迴,2017–2018 Martin Luther Poster Tour in North America,2017年是馬丁路德宗教改革五百周年，宇宙光製作掛圖供歷史圖片展。在北美多地巡迴，包括聖荷西、波士頓、若歌教會、多倫多、休士頓等。,"For the 500th anniversary of the Reformation, Cosmic Light produced poster exhibits touring North America, including San Jose, Boston, RGC Church, Toronto, Houston, and more.",特色事工,Special Ministries,宗教改革500周年挂图展,Reformation 500 Poster Exhibit,2017-2018,,,archived,https://www.bethelrc.org/images/stories/feature/CosmicLight/Image_20170822163540.jpg,,https://www.bethelrc.org/index.php/9-feature/235-recent-exhibition
Light of Life: Amy’s Symphony Story,生命之光 - 艾美的交響人生,Light of Life: Amy’s Symphony Story,Amy的生命故事，本來是充滿雜音的人生成為美妙動聽的交響樂。部落格：https://amyhsublog.wordpress.com/ 有聲書可供聆聽。,"Amy’s life story—once full of noise, now a beautiful symphony. Blog: https://amyhsublog.wordpress.com/. Audiobook available.",特色事工,Special Ministries,见证分享,Testimony Sharing,,,,archived,,,https://www.bethelrc.org/index.php/9-feature/252-1-18
Coffee Mission - Coffee Talk Time Change,Coffee Mission - Coffee Talk 改時間,Coffee Mission - Coffee Talk Time Change,"自2021年12月30日起，週四COFFEE TALK直播提前到北京週四晚上九點半/美東早上八點半。Zoom ID: 82364976350, Passcode: 823375","From Dec 30, 2021, Thursday COFFEE TALK moved to Thu 9:30pm Beijing / 8:30am ET. Zoom ID: 82364976350, Passcode: 823375.",特色事工,Special Ministries,咖啡宣教,Coffee Mission,2021-12-30,,,archived,https://www.bethelrc.org/images/stories/News/Coffee%20Mission/CoffeeTalk20220103.jpg,,https://www.bethelrc.org/index.php/9-feature/287-coffee-mission-update
Liu San Talks | East Coast Joint Evangelistic Meetings,劉三講古||美東聯合佈道會,Liu San Talks | East Coast Joint Evangelistic Meetings,GOOD TV節目《劉三講古》美東巡迴佈道，用臺語和國語講座。包含「家庭」「親子」「男女大不同」等主題。場次包括主恩堂、若歌教會、西羅亞教會、長島長恩堂等。,"GOOD TV’s “Liu San Talks” East Coast tour with Taiwanese and Mandarin talks on family, parenting, and gender differences. Stops include Zhuen, RGC, Siloah, and Chang En Church on Long Island.",活动花絮,Event Highlights,刘三讲古,Liu San Talks,2017-03,,,archived,https://www.bethelrc.org/images/stories/News/Evangelical_Events/IMG_6664_%E5%8A%89%E4%B8%89%E8%AC%9B%E5%8F%A4_Purple.JPG,https://www.youtube.com/watch?v=d7SczQLdbhU,https://www.bethelrc.org/index.php/event-archieve/2017-01-16-01-25-50
Guo Xiao‑zhuang East Coast Tour,郭小莊美東行,Guo Xiao‑zhuang East Coast Tour,京劇名角、臺灣國寶郭小莊「活出美好的生命見證」美東十場分享會。1979年創辦『雅音小集』致力於京劇改革，曾獲紐約林肯中心亞洲傑出藝人獎。,Peking opera master and Taiwan cultural treasure Guo Xiao‑zhuang’s 10‑stop East Coast tour on “Living a beautiful life testimony.” Founded Ya Yin Xiao Ji in 1979 and received a Lincoln Center Asia award.,活动花絮,Event Highlights,郭小庄美东行,Guo Xiao‑zhuang East Coast Tour,2018-07,,,archived,,,https://www.bethelrc.org/index.php/event-archieve/ms-guo
Chiu‑Hsiang,秋香 CHIU-HSIANG,Chiu‑Hsiang,紀錄片《秋香》放映活動，導演吳乙峰執導。講述一個坐著輪椅的女人和曾經坐過牢的男人在馬來西亞創立華人最大社福團體的故事。,"Screening of the documentary “Chiu‑Hsiang” by director Wu Yi‑feng, telling the story of a woman in a wheelchair and a former inmate founding Malaysia’s largest Chinese social welfare group.",活动花絮,Event Highlights,秋香美东行,Chiu‑Hsiang East Coast Tour,2014-09-23,,,archived,https://www.bethelrc.org/images/stories/News/ChiuHsiang/chiuhsiang_main.jpg,,https://www.bethelrc.org/index.php/event-archieve/2014-08-14-14-33-53
Kyrgyzstan Mission Trip,吉爾吉斯訪宣,Kyrgyzstan Mission Trip,吉爾吉斯訪宣開始報名，包含2015訪宣照片及報名表。,Kyrgyzstan mission trip registration with 2015 photos and sign‑up forms.,活动花絮,Event Highlights,吉尔吉斯访宣,Kyrgyzstan Mission Trip,2015,,,archived,https://www.bethelrc.org/images/media/docs/PDF/IMG_8416_short.jpg,,https://www.bethelrc.org/index.php/event-archieve/2017-01-16-02-09-03
